dest_room,bill_room,date,time,orders,menu_id,prefix_room,name,price,category,capacity,type
restaurant,S0,2016-02-14,03:15:00,4,13,S,super soup,14.0,dinner,15,conference_room_small
restaurant,S0,2016-02-22,19:03:00,1,13,S,super soup,14.0,dinner,15,conference_room_small
restaurant,S0,2016-02-16,00:00:00,5,5,S,french-breakfast,7.0,breakfast,15,conference_room_small
S2,S2,2016-02-25,12:54:00,3,9,S,steak 'n stuff,18.0,dinner,15,conference_room_small
restaurant,S2,2016-02-23,18:59:00,4,14,S,coffee,3.0,drink,15,conference_room_small
L1,L1,2016-03-22,11:47:00,2,9,L,steak 'n stuff,18.0,dinner,50,conference_room_large
restaurant,L8,2016-03-21,00:10:00,3,4,L,simple-breakfast,5.0,breakfast,50,conference_room_large
restaurant,L8,2016-03-22,22:18:00,3,12,L,spareribs,17.0,dinner,50,conference_room_large
N0,N0,2016-02-22,00:25:00,3,13,N,super soup,14.0,dinner,1,normal_room
restaurant,N1,2016-02-23,23:24:00,4,6,N,deluxe-breakfast,12.0,breakfast,1,normal_room
restaurant,L0,2016-02-15,13:20:00,2,12,L,spareribs,17.0,dinner,50,conference_room_large
restaurant,L0,2016-02-20,14:28:00,4,5,L,french-breakfast,7.0,breakfast,50,conference_room_large
L0,L0,2016-02-19,14:47:00,1,14,L,coffee,3.0,drink,50,conference_room_large
restaurant,S2,2016-01-24,21:56:00,4,9,S,steak 'n stuff,18.0,dinner,15,conference_room_small
restaurant,X1,2016-02-18,18:41:00,3,4,X,simple-breakfast,5.0,breakfast,3,deluxe_room
L1,L1,2016-03-01,22:56:00,3,1,L,soft-drink,3.0,drink,50,conference_room_large
X2,X2,2016-01-13,10:41:00,1,14,X,coffee,3.0,drink,3,deluxe_room
restaurant,X3,2016-01-13,01:21:00,1,5,X,french-breakfast,7.0,breakfast,3,deluxe_room
restaurant,S1,2016-02-03,04:40:00,5,1,S,soft-drink,3.0,drink,15,conference_room_small
D1,D1,2016-02-05,23:21:00,3,4,D,simple-breakfast,5.0,breakfast,3,double_room
restaurant,S0,2016-04-01,07:14:00,4,4,S,simple-breakfast,5.0,breakfast,15,conference_room_small
restaurant,L2,2016-02-08,10:38:00,1,7,L,simple-lunch,5.0,lunch,50,conference_room_large
restaurant,L2,2016-02-13,01:24:00,3,11,L,vegetarian lasagna,16.0,dinner,50,conference_room_large
restaurant,L2,2016-02-09,07:28:00,5,12,L,spareribs,17.0,dinner,50,conference_room_large
S42,S42,2016-02-01,11:38:00,3,3,S,wine,3.5,alcoholic-drink,15,conference_room_small
restaurant,S43,2016-02-04,00:17:00,4,10,S,surf 'n turf,17.0,dinner,15,conference_room_small
restaurant,S5,2016-03-13,06:31:00,3,6,S,deluxe-breakfast,12.0,breakfast,15,conference_room_small
restaurant,S8,2016-01-12,14:02:00,4,4,S,simple-breakfast,5.0,breakfast,15,conference_room_small
restaurant,S8,2016-01-09,05:55:00,1,6,S,deluxe-breakfast,12.0,breakfast,15,conference_room_small
restaurant,S9,2016-01-10,15:31:00,3,10,S,surf 'n turf,17.0,dinner,15,conference_room_small
L0,L0,2016-01-25,07:22:00,4,2,L,beer,3.5,alcoholic-drink,50,conference_room_large
restaurant,L0,2016-01-23,14:08:00,4,5,L,french-breakfast,7.0,breakfast,50,conference_room_large
restaurant,L0,2016-01-24,11:41:00,2,10,L,surf 'n turf,17.0,dinner,50,conference_room_large
S14,S14,2016-03-10,12:03:00,5,10,S,surf 'n turf,17.0,dinner,15,conference_room_small
S15,S15,2016-03-10,00:37:00,5,13,S,super soup,14.0,dinner,15,conference_room_small
restaurant,S16,2016-03-11,18:17:00,1,7,S,simple-lunch,5.0,lunch,15,conference_room_small
restaurant,L2,2016-03-17,10:26:00,4,8,L,deluxe-lunch,10.0,lunch,50,conference_room_large
restaurant,L1,2016-02-17,22:57:00,5,14,L,coffee,3.0,drink,50,conference_room_large
L3,L3,2016-03-27,05:15:00,1,2,L,beer,3.5,alcoholic-drink,50,conference_room_large
restaurant,L3,2016-03-27,03:47:00,4,15,L,tea,2.5,drink,50,conference_room_large
restaurant,D1,2016-02-23,08:06:00,5,12,D,spareribs,17.0,dinner,3,double_room
restaurant,S4,2016-01-15,08:42:00,1,14,S,coffee,3.0,drink,15,conference_room_small
restaurant,S4,2016-01-18,17:02:00,5,15,S,tea,2.5,drink,15,conference_room_small
S4,S4,2016-01-13,01:05:00,4,6,S,deluxe-breakfast,12.0,breakfast,15,conference_room_small
restaurant,S4,2016-01-18,01:25:00,4,13,S,super soup,14.0,dinner,15,conference_room_small
restaurant,S6,2016-01-13,20:56:00,2,6,S,deluxe-breakfast,12.0,breakfast,15,conference_room_small
restaurant,S6,2016-01-15,12:12:00,2,7,S,simple-lunch,5.0,lunch,15,conference_room_small
L12,L12,2016-03-28,05:07:00,4,1,L,soft-drink,3.0,drink,50,conference_room_large
S11,S11,2016-01-14,17:30:00,5,1,S,soft-drink,3.0,drink,15,conference_room_small
S13,S13,2016-01-13,16:42:00,4,3,S,wine,3.5,alcoholic-drink,15,conference_room_small
restaurant,S16,2016-02-13,04:48:00,3,5,S,french-breakfast,7.0,breakfast,15,conference_room_small
L0,L0,2016-03-09,09:03:00,1,11,L,vegetarian lasagna,16.0,dinner,50,conference_room_large
L0,L0,2016-03-07,10:43:00,4,4,L,simple-breakfast,5.0,breakfast,50,conference_room_large
L0,L0,2016-03-06,08:32:00,4,2,L,beer,3.5,alcoholic-drink,50,conference_room_large
restaurant,L0,2016-03-08,00:02:00,2,10,L,surf 'n turf,17.0,dinner,50,conference_room_large
S14,S14,2016-01-14,09:24:00,2,8,S,deluxe-lunch,10.0,lunch,15,conference_room_small
restaurant,S14,2016-01-13,11:02:00,5,6,S,deluxe-breakfast,12.0,breakfast,15,conference_room_small
S17,S17,2016-01-12,17:08:00,2,13,S,super soup,14.0,dinner,15,conference_room_small
S17,S17,2016-01-10,00:48:00,1,12,S,spareribs,17.0,dinner,15,conference_room_small
restaurant,L3,2016-01-27,19:43:00,1,14,L,coffee,3.0,drink,50,conference_room_large
restaurant,L3,2016-01-26,07:09:00,2,5,L,french-breakfast,7.0,breakfast,50,conference_room_large
L5,L5,2016-02-09,07:54:00,3,15,L,tea,2.5,drink,50,conference_room_large
restaurant,L5,2016-02-10,06:41:00,3,11,L,vegetarian lasagna,16.0,dinner,50,conference_room_large
L3,L3,2016-03-29,19:33:00,5,5,L,french-breakfast,7.0,breakfast,50,conference_room_large
restaurant,L3,2016-03-31,18:36:00,5,0,L,water,2.5,drink,50,conference_room_large
L3,L3,2016-03-29,03:55:00,5,7,L,simple-lunch,5.0,lunch,50,conference_room_large
restaurant,S2,2016-03-13,22:10:00,1,10,S,surf 'n turf,17.0,dinner,15,conference_room_small
restaurant,S4,2016-03-15,14:45:00,2,4,S,simple-breakfast,5.0,breakfast,15,conference_room_small
S8,S8,2016-01-23,20:45:00,1,10,S,surf 'n turf,17.0,dinner,15,conference_room_small
restaurant,L2,2016-02-21,15:37:00,3,11,L,vegetarian lasagna,16.0,dinner,50,conference_room_large
restaurant,L2,2016-02-23,06:56:00,5,1,L,soft-drink,3.0,drink,50,conference_room_large
L2,L2,2016-02-22,10:30:00,5,11,L,vegetarian lasagna,16.0,dinner,50,conference_room_large
restaurant,L2,2016-02-18,22:55:00,4,15,L,tea,2.5,drink,50,conference_room_large
restaurant,L1,2016-03-16,14:05:00,1,0,L,water,2.5,drink,50,conference_room_large
L1,L1,2016-03-16,09:46:00,4,6,L,deluxe-breakfast,12.0,breakfast,50,conference_room_large
restaurant,L1,2016-03-07,11:49:00,1,11,L,vegetarian lasagna,16.0,dinner,50,conference_room_large
restaurant,L1,2016-03-07,11:31:00,1,9,L,steak 'n stuff,18.0,dinner,50,conference_room_large
L1,L1,2016-03-07,04:06:00,3,0,L,water,2.5,drink,50,conference_room_large
L1,L1,2016-03-17,22:18:00,5,15,L,tea,2.5,drink,50,conference_room_large
restaurant,L1,2016-03-10,16:35:00,3,4,L,simple-breakfast,5.0,breakfast,50,conference_room_large
restaurant,S3,2016-02-19,13:44:00,4,15,S,tea,2.5,drink,15,conference_room_small
S4,S4,2016-02-19,13:48:00,2,4,S,simple-breakfast,5.0,breakfast,15,conference_room_small
restaurant,S29,2016-02-24,03:54:00,3,0,S,water,2.5,drink,15,conference_room_small
S1,S1,2016-03-08,05:27:00,1,5,S,french-breakfast,7.0,breakfast,15,conference_room_small
restaurant,S0,2016-01-26,19:20:00,5,1,S,soft-drink,3.0,drink,15,conference_room_small
restaurant,X7,2016-01-24,23:51:00,1,5,X,french-breakfast,7.0,breakfast,3,deluxe_room
restaurant,S9,2016-01-13,18:42:00,2,13,S,super soup,14.0,dinner,15,conference_room_small
restaurant,S11,2016-01-26,18:40:00,3,12,S,spareribs,17.0,dinner,15,conference_room_small
L1,L1,2016-02-25,02:21:00,1,9,L,steak 'n stuff,18.0,dinner,50,conference_room_large
restaurant,S5,2016-02-23,00:54:00,4,4,S,simple-breakfast,5.0,breakfast,15,conference_room_small
restaurant,S8,2016-02-21,04:55:00,4,3,S,wine,3.5,alcoholic-drink,15,conference_room_small
restaurant,L3,2016-02-17,13:00:00,5,0,L,water,2.5,drink,50,conference_room_large
L4,L4,2016-02-18,00:49:00,3,0,L,water,2.5,drink,50,conference_room_large
restaurant,L1,2016-02-20,09:39:00,5,6,L,deluxe-breakfast,12.0,breakfast,50,conference_room_large
restaurant,S6,2016-03-11,02:52:00,1,11,S,vegetarian lasagna,16.0,dinner,15,conference_room_small
restaurant,N13,2016-03-14,14:09:00,2,6,N,deluxe-breakfast,12.0,breakfast,1,normal_room
N14,N14,2016-03-09,12:56:00,2,10,N,surf 'n turf,17.0,dinner,1,normal_room
restaurant,S0,2016-03-25,04:57:00,1,9,S,steak 'n stuff,18.0,dinner,15,conference_room_small
restaurant,S1,2016-03-23,10:40:00,2,11,S,vegetarian lasagna,16.0,dinner,15,conference_room_small
restaurant,N12,2016-03-20,18:32:00,3,2,N,beer,3.5,alcoholic-drink,1,normal_room
restaurant,L0,2016-02-02,19:21:00,5,11,L,vegetarian lasagna,16.0,dinner,50,conference_room_large
restaurant,L5,2016-03-12,17:18:00,5,15,L,tea,2.5,drink,50,conference_room_large
L5,L5,2016-03-12,12:57:00,5,13,L,super soup,14.0,dinner,50,conference_room_large
restaurant,S1,2016-02-01,22:31:00,4,10,S,surf 'n turf,17.0,dinner,15,conference_room_small
restaurant,L6,2016-02-06,16:36:00,2,12,L,spareribs,17.0,dinner,50,conference_room_large
restaurant,L6,2016-02-09,19:28:00,1,7,L,simple-lunch,5.0,lunch,50,conference_room_large
L2,L2,2016-01-23,22:33:00,5,1,L,soft-drink,3.0,drink,50,conference_room_large
L3,L3,2016-01-20,19:50:00,5,8,L,deluxe-lunch,10.0,lunch,50,conference_room_large
restaurant,L3,2016-01-21,16:24:00,1,2,L,beer,3.5,alcoholic-drink,50,conference_room_large
restaurant,L3,2016-01-24,13:54:00,5,1,L,soft-drink,3.0,drink,50,conference_room_large
restaurant,N5,2016-02-09,11:06:00,5,7,N,simple-lunch,5.0,lunch,1,normal_room
restaurant,N8,2016-02-06,20:49:00,1,1,N,soft-drink,3.0,drink,1,normal_room
restaurant,L9,2016-03-13,06:13:00,1,2,L,beer,3.5,alcoholic-drink,50,conference_room_large
restaurant,L9,2016-03-12,20:49:00,1,8,L,deluxe-lunch,10.0,lunch,50,conference_room_large
restaurant,L2,2016-01-03,20:20:00,1,0,L,water,2.5,drink,50,conference_room_large
restaurant,L2,2016-01-04,07:13:00,3,15,L,tea,2.5,drink,50,conference_room_large
restaurant,L5,2016-02-17,18:13:00,5,11,L,vegetarian lasagna,16.0,dinner,50,conference_room_large
restaurant,S19,2016-01-14,15:22:00,5,6,S,deluxe-breakfast,12.0,breakfast,15,conference_room_small
N15,N15,2016-03-02,02:23:00,2,8,N,deluxe-lunch,10.0,lunch,1,normal_room
restaurant,N16,2016-03-03,14:40:00,3,7,N,simple-lunch,5.0,lunch,1,normal_room
S0,S0,2016-01-04,07:53:00,2,15,S,tea,2.5,drink,15,conference_room_small
S1,S1,2016-01-04,02:12:00,2,1,S,soft-drink,3.0,drink,15,conference_room_small
restaurant,S2,2016-01-27,00:53:00,5,1,S,soft-drink,3.0,drink,15,conference_room_small
restaurant,S2,2016-01-28,22:22:00,5,6,S,deluxe-breakfast,12.0,breakfast,15,conference_room_small
S2,S2,2016-02-04,14:16:00,3,11,S,vegetarian lasagna,16.0,dinner,15,conference_room_small
restaurant,S3,2016-02-02,14:05:00,5,11,S,vegetarian lasagna,16.0,dinner,15,conference_room_small
S3,S3,2016-02-03,14:39:00,2,9,S,steak 'n stuff,18.0,dinner,15,conference_room_small
restaurant,S3,2016-01-27,12:07:00,1,14,S,coffee,3.0,drink,15,conference_room_small
restaurant,S4,2016-01-31,10:20:00,3,6,S,deluxe-breakfast,12.0,breakfast,15,conference_room_small
S4,S4,2016-01-29,19:14:00,2,7,S,simple-lunch,5.0,lunch,15,conference_room_small
restaurant,S4,2016-01-25,17:00:00,3,12,S,spareribs,17.0,dinner,15,conference_room_small
restaurant,S4,2016-01-31,06:28:00,2,4,S,simple-breakfast,5.0,breakfast,15,conference_room_small
restaurant,S7,2016-03-08,15:37:00,5,9,S,steak 'n stuff,18.0,dinner,15,conference_room_small
restaurant,S8,2016-03-06,21:50:00,3,3,S,wine,3.5,alcoholic-drink,15,conference_room_small
restaurant,N12,2016-04-01,16:09:00,3,5,N,french-breakfast,7.0,breakfast,1,normal_room
N14,N14,2016-04-07,11:08:00,4,12,N,spareribs,17.0,dinner,1,normal_room
restaurant,N21,2016-03-16,09:32:00,1,15,N,tea,2.5,drink,1,normal_room
restaurant,N24,2016-03-15,17:46:00,2,15,N,tea,2.5,drink,1,normal_room
N25,N25,2016-03-17,03:15:00,3,4,N,simple-breakfast,5.0,breakfast,1,normal_room
restaurant,L0,2016-01-08,02:09:00,4,9,L,steak 'n stuff,18.0,dinner,50,conference_room_large
restaurant,L0,2016-01-16,11:19:00,4,0,L,water,2.5,drink,50,conference_room_large
restaurant,L0,2016-01-13,23:45:00,5,1,L,soft-drink,3.0,drink,50,conference_room_large
L0,L0,2016-01-06,06:23:00,2,5,L,french-breakfast,7.0,breakfast,50,conference_room_large
restaurant,L0,2016-01-08,19:32:00,2,8,L,deluxe-lunch,10.0,lunch,50,conference_room_large
L0,L0,2016-01-11,00:51:00,2,5,L,french-breakfast,7.0,breakfast,50,conference_room_large
S0,S0,2016-03-01,20:35:00,3,8,S,deluxe-lunch,10.0,lunch,15,conference_room_small
S2,S2,2016-03-01,23:41:00,5,6,S,deluxe-breakfast,12.0,breakfast,15,conference_room_small
restaurant,S3,2016-03-30,23:20:00,5,13,S,super soup,14.0,dinner,15,conference_room_small
restaurant,L4,2016-01-22,19:18:00,4,15,L,tea,2.5,drink,50,conference_room_large
restaurant,L4,2016-01-26,07:06:00,4,15,L,tea,2.5,drink,50,conference_room_large
restaurant,L4,2016-01-24,10:24:00,3,6,L,deluxe-breakfast,12.0,breakfast,50,conference_room_large
restaurant,L5,2016-01-28,04:14:00,3,11,L,vegetarian lasagna,16.0,dinner,50,conference_room_large
restaurant,L5,2016-01-27,15:16:00,5,10,L,surf 'n turf,17.0,dinner,50,conference_room_large
L5,L5,2016-01-25,23:02:00,4,13,L,super soup,14.0,dinner,50,conference_room_large
restaurant,L5,2016-01-22,14:47:00,3,9,L,steak 'n stuff,18.0,dinner,50,conference_room_large
restaurant,L1,2016-02-15,22:03:00,4,13,L,super soup,14.0,dinner,50,conference_room_large
X9,X9,2016-01-13,13:52:00,3,2,X,beer,3.5,alcoholic-drink,3,deluxe_room
restaurant,L4,2016-03-16,20:47:00,4,11,L,vegetarian lasagna,16.0,dinner,50,conference_room_large
L4,L4,2016-03-20,01:10:00,3,3,L,wine,3.5,alcoholic-drink,50,conference_room_large
restaurant,L4,2016-03-17,03:05:00,1,13,L,super soup,14.0,dinner,50,conference_room_large
restaurant,L4,2016-03-20,23:44:00,3,4,L,simple-breakfast,5.0,breakfast,50,conference_room_large
restaurant,L2,2016-03-02,01:51:00,3,1,L,soft-drink,3.0,drink,50,conference_room_large
restaurant,S11,2016-03-17,03:28:00,4,13,S,super soup,14.0,dinner,15,conference_room_small
S88,S88,2016-01-08,08:38:00,2,9,S,steak 'n stuff,18.0,dinner,15,conference_room_small
restaurant,S89,2016-01-07,18:50:00,1,3,S,wine,3.5,alcoholic-drink,15,conference_room_small
S90,S90,2016-01-08,12:54:00,4,8,S,deluxe-lunch,10.0,lunch,15,conference_room_small
restaurant,S3,2016-03-22,01:43:00,5,7,S,simple-lunch,5.0,lunch,15,conference_room_small
S9,S9,2016-03-23,00:52:00,5,2,S,beer,3.5,alcoholic-drink,15,conference_room_small
S10,S10,2016-03-19,19:00:00,5,0,S,water,2.5,drink,15,conference_room_small
restaurant,S10,2016-03-25,19:18:00,5,6,S,deluxe-breakfast,12.0,breakfast,15,conference_room_small
S10,S10,2016-03-19,08:34:00,4,11,S,vegetarian lasagna,16.0,dinner,15,conference_room_small
L6,L6,2016-03-31,05:55:00,1,2,L,beer,3.5,alcoholic-drink,50,conference_room_large
L6,L6,2016-04-02,14:30:00,3,15,L,tea,2.5,drink,50,conference_room_large
S21,S21,2016-01-28,07:54:00,5,9,S,steak 'n stuff,18.0,dinner,15,conference_room_small
restaurant,L1,2016-01-24,23:36:00,2,14,L,coffee,3.0,drink,50,conference_room_large
X4,X4,2016-04-02,10:09:00,5,12,X,spareribs,17.0,dinner,3,deluxe_room
L3,L3,2016-03-11,16:06:00,4,4,L,simple-breakfast,5.0,breakfast,50,conference_room_large
restaurant,L3,2016-03-12,12:32:00,1,0,L,water,2.5,drink,50,conference_room_large
L3,L3,2016-03-13,03:07:00,2,15,L,tea,2.5,drink,50,conference_room_large
L3,L3,2016-03-09,19:05:00,2,9,L,steak 'n stuff,18.0,dinner,50,conference_room_large
restaurant,L3,2016-03-07,09:55:00,1,9,L,steak 'n stuff,18.0,dinner,50,conference_room_large
restaurant,S18,2016-03-11,09:53:00,5,15,S,tea,2.5,drink,15,conference_room_small
restaurant,S19,2016-03-12,03:56:00,1,3,S,wine,3.5,alcoholic-drink,15,conference_room_small
L4,L4,2016-03-11,06:15:00,3,0,L,water,2.5,drink,50,conference_room_large
L4,L4,2016-03-06,18:04:00,1,4,L,simple-breakfast,5.0,breakfast,50,conference_room_large
L4,L4,2016-03-13,12:56:00,1,5,L,french-breakfast,7.0,breakfast,50,conference_room_large
restaurant,L4,2016-03-08,03:34:00,1,5,L,french-breakfast,7.0,breakfast,50,conference_room_large
restaurant,L4,2016-03-08,11:32:00,1,5,L,french-breakfast,7.0,breakfast,50,conference_room_large
restaurant,L2,2016-02-22,05:38:00,5,8,L,deluxe-lunch,10.0,lunch,50,conference_room_large
restaurant,L2,2016-02-22,03:23:00,3,10,L,surf 'n turf,17.0,dinner,50,conference_room_large
L5,L5,2016-03-15,15:43:00,3,13,L,super soup,14.0,dinner,50,conference_room_large
restaurant,L5,2016-03-21,11:20:00,4,0,L,water,2.5,drink,50,conference_room_large
restaurant,L5,2016-03-22,08:30:00,2,1,L,soft-drink,3.0,drink,50,conference_room_large
restaurant,L5,2016-03-16,14:32:00,3,1,L,soft-drink,3.0,drink,50,conference_room_large
L7,L7,2016-03-22,04:16:00,3,14,L,coffee,3.0,drink,50,conference_room_large
L7,L7,2016-03-12,15:14:00,4,11,L,vegetarian lasagna,16.0,dinner,50,conference_room_large
restaurant,L6,2016-01-28,18:09:00,1,11,L,vegetarian lasagna,16.0,dinner,50,conference_room_large
S11,S11,2016-02-18,09:17:00,5,7,S,simple-lunch,5.0,lunch,15,conference_room_small
restaurant,S34,2016-02-23,14:58:00,1,7,S,simple-lunch,5.0,lunch,15,conference_room_small
restaurant,L2,2016-02-07,20:37:00,3,6,L,deluxe-breakfast,12.0,breakfast,50,conference_room_large
restaurant,S23,2016-01-11,20:53:00,5,3,S,wine,3.5,alcoholic-drink,15,conference_room_small
S24,S24,2016-01-09,03:45:00,3,8,S,deluxe-lunch,10.0,lunch,15,conference_room_small
D0,D0,2016-02-13,09:43:00,1,15,D,tea,2.5,drink,3,double_room
L9,L9,2016-02-06,10:18:00,4,14,L,coffee,3.0,drink,50,conference_room_large
L9,L9,2016-02-04,20:06:00,1,15,L,tea,2.5,drink,50,conference_room_large
D3,D3,2016-02-27,21:51:00,3,3,D,wine,3.5,alcoholic-drink,3,double_room
restaurant,S25,2016-01-14,02:59:00,5,9,S,steak 'n stuff,18.0,dinner,15,conference_room_small
S26,S26,2016-01-13,02:33:00,1,12,S,spareribs,17.0,dinner,15,conference_room_small
S27,S27,2016-01-10,14:23:00,1,14,S,coffee,3.0,drink,15,conference_room_small
restaurant,L1,2016-02-01,04:17:00,5,9,L,steak 'n stuff,18.0,dinner,50,conference_room_large
restaurant,N17,2016-02-07,12:28:00,1,13,N,super soup,14.0,dinner,1,normal_room
restaurant,N18,2016-02-13,20:51:00,4,11,N,vegetarian lasagna,16.0,dinner,1,normal_room
restaurant,N21,2016-02-07,03:29:00,1,5,N,french-breakfast,7.0,breakfast,1,normal_room
restaurant,L21,2016-03-13,16:11:00,2,4,L,simple-breakfast,5.0,breakfast,50,conference_room_large
L21,L21,2016-03-14,05:33:00,1,6,L,deluxe-breakfast,12.0,breakfast,50,conference_room_large
restaurant,L21,2016-03-14,02:51:00,4,14,L,coffee,3.0,drink,50,conference_room_large
restaurant,L22,2016-03-14,12:45:00,1,1,L,soft-drink,3.0,drink,50,conference_room_large
restaurant,L22,2016-03-10,12:20:00,5,11,L,vegetarian lasagna,16.0,dinner,50,conference_room_large
restaurant,L3,2016-03-01,09:53:00,3,8,L,deluxe-lunch,10.0,lunch,50,conference_room_large
restaurant,L2,2016-01-25,06:48:00,4,9,L,steak 'n stuff,18.0,dinner,50,conference_room_large
restaurant,L11,2016-01-26,04:38:00,5,7,L,simple-lunch,5.0,lunch,50,conference_room_large
L6,L6,2016-03-26,02:07:00,3,9,L,steak 'n stuff,18.0,dinner,50,conference_room_large
restaurant,L2,2016-02-16,03:30:00,2,11,L,vegetarian lasagna,16.0,dinner,50,conference_room_large
restaurant,L3,2016-02-15,23:31:00,3,11,L,vegetarian lasagna,16.0,dinner,50,conference_room_large
restaurant,D14,2016-03-08,11:09:00,1,9,D,steak 'n stuff,18.0,dinner,3,double_room
L1,L1,2016-01-21,03:54:00,3,14,L,coffee,3.0,drink,50,conference_room_large
restaurant,L4,2016-02-15,19:09:00,4,10,L,surf 'n turf,17.0,dinner,50,conference_room_large
X8,X8,2016-01-29,15:37:00,1,2,X,beer,3.5,alcoholic-drink,3,deluxe_room
X9,X9,2016-01-20,15:09:00,4,13,X,super soup,14.0,dinner,3,deluxe_room
restaurant,S4,2016-03-19,07:38:00,2,0,S,water,2.5,drink,15,conference_room_small
restaurant,S4,2016-03-22,18:35:00,1,13,S,super soup,14.0,dinner,15,conference_room_small
S4,S4,2016-03-23,20:45:00,3,8,S,deluxe-lunch,10.0,lunch,15,conference_room_small
restaurant,S5,2016-03-28,15:59:00,5,4,S,simple-breakfast,5.0,breakfast,15,conference_room_small
restaurant,S5,2016-03-27,05:38:00,5,4,S,simple-breakfast,5.0,breakfast,15,conference_room_small
S6,S6,2016-03-24,15:03:00,4,4,S,simple-breakfast,5.0,breakfast,15,conference_room_small
restaurant,L0,2016-02-05,13:31:00,1,0,L,water,2.5,drink,50,conference_room_large
L1,L1,2016-02-03,11:28:00,3,2,L,beer,3.5,alcoholic-drink,50,conference_room_large
restaurant,L2,2016-01-10,00:20:00,4,13,L,super soup,14.0,dinner,50,conference_room_large
restaurant,L2,2016-01-10,07:37:00,5,5,L,french-breakfast,7.0,breakfast,50,conference_room_large
restaurant,L5,2016-03-09,10:41:00,2,13,L,super soup,14.0,dinner,50,conference_room_large
L5,L5,2016-03-08,23:33:00,3,1,L,soft-drink,3.0,drink,50,conference_room_large
restaurant,S16,2016-03-15,15:14:00,4,1,S,soft-drink,3.0,drink,15,conference_room_small
restaurant,S17,2016-03-15,07:31:00,3,10,S,surf 'n turf,17.0,dinner,15,conference_room_small
restaurant,L1,2016-01-10,05:50:00,4,7,L,simple-lunch,5.0,lunch,50,conference_room_large
